S.no,vegetableName,price,imageProperties_vegetableHeight,imageProperties_vegetableWidth,imageProperties_vegetableTop,units,id,shopingMallPrice,retailPrice,table_imageUrl,table_imageSize,table_heightRatio,date
19,Carrot,70,85,64,464,1kg,carrot,84 - 116,81 - 89,resource/images/vegetables/carrot-64.png,1,1.28,1/26/2022
20,Cauliflower,44,64,71,1421,1kg,cauliflower,53 - 73,51 - 56,resource/images/vegetables/cauliflower-64.png,1,0.92,1/26/2022
21,Cluster beans,42,64,85,1485,1kg,clusterBeans,50 - 69,48 - 53,resource/images/vegetables/clusterBeans-64.png,1,0.77,1/26/2022
22,Coconut,34,64,77,1549,1kg,coconut,41 - 56,39 - 43,resource/images/vegetables/coconut-64.png,1,0.85,1/26/2022
23,Colocasia Leaves,13,64,79,1613,1kg,colocasiaLeaves,16 - 21,15 - 17,resource/images/vegetables/colocasiaLeaves-64.png,1,0.85,1/26/2022
24,Colocasia,25,64,96,1677,1kg,colocasia,30 - 41,29 - 32,resource/images/vegetables/colocasia-64.png,1,0.66,1/26/2022
25,Coriander Leaves,12,64,56,1741,1kg,corianderLeaves,14 - 20,14 - 15,resource/images/vegetables/corianderLeaves-64.png,1,1.12,1/26/2022
26,Corn,33,111,64,1805,1kg,corn,40 - 54,38 - 42,resource/images/vegetables/corn-64.png,0.8,1.7,1/26/2022
27,Cucumber,13,64,92,1916,1kg,cucumber,16 - 21,15 - 17,resource/images/vegetables/cucumber-64.png,1,0.7,1/26/2022
28,Curry Leaves,35,81,64,1980,1kg,curryLeaves,42 - 58,40 - 44,resource/images/vegetables/curryLeaves-64.png,1,1.26,1/26/2022
29,Dill Leaves,12,77,64,2061,1kg,dillLeaves,14 - 20,14 - 15,resource/images/vegetables/dillLeaves-64.png,1,1.16,1/26/2022
30,Drumsticks,120,64,87,2138,1kg,drumsticks,144 - 198,138 - 152,resource/images/vegetables/drumsticks-64.png,1,0.74,1/26/2022
31,Brinjal,32,86,64,2202,1kg,brinjal,38 - 53,37 - 41,resource/images/vegetables/brinjal-64.png,1,1.31,1/26/2022
32,Brinjal (Big),61,71,64,2288,1kg,brinjalBig,73 - 101,70 - 77,resource/images/vegetables/brinjalBig-64.png,1,1.13,1/26/2022
33,Elephant Yam,30,64,86,2423,1kg,elephantYam,36 - 50,35 - 38,resource/images/vegetables/elephantYam-64.png,1,0.75,1/26/2022
34,Fenugreek Leaves,13,64,91,2551,1kg,fenugreekLeaves,16 - 21,15 - 17,resource/images/vegetables/fenugreekLeaves-64.png,1,0.71,1/26/2022
35,French Beans,36,64,97,2615,1kg,frenchBeans,43 - 59,41 - 46,resource/images/vegetables/frenchBeans-64.png,1,0.67,1/26/2022
36,Garlic,61,68,64,2679,1kg,garlic,73 - 101,70 - 77,resource/images/vegetables/garlic-64.png,1,1.04,1/26/2022
37,Ginger,31,64,71,549,1kg,ginger,37 - 51,36 - 39,resource/images/vegetables/ginger-64.png,1,0.92,1/26/2022
38,Onion Green,44,64,104,2815,1kg,onionGreen,53 - 73,51 - 56,resource/images/vegetables/onionGreen-64.png,1,0.62,1/26/2022
39,Green Peas,55,64,84,2943,1kg,greenPeas,66 - 91,63 - 70,resource/images/vegetables/greenPeas-64.png,1,0.77,1/26/2022
40,Ivy Gourd,34,64,96,3007,1kg,ivyGourd,41 - 56,39 - 43,resource/images/vegetables/ivyGourd-64.png,1,0.66,1/26/2022
41,Lemon (Lime),35,64,72,3071,1kg,lemon,42 - 58,40 - 44,resource/images/vegetables/lemon-64.png,1,0.88,1/26/2022
42,Mango Raw,71,64,73,3210,1kg,mangoRaw,85 - 117,82 - 90,resource/images/vegetables/mangoRaw-64.png,1,0.87,1/26/2022
43,Mint Leaves,8,64,101,3274,1kg,mintLeaves,13-Oct,10-Sep,resource/images/vegetables/mintLeaves-64.png,1,0.72,1/26/2022
44,Mushroom,84,83,64,3338,1kg,mushroom,101 - 139,97 - 107,resource/images/vegetables/mushroom-64.png,0.8,1.29,1/26/2022
45,Mustard Leaves,15,88,64,3421,1kg,mustardLeaves,18 - 25,17 - 19,resource/images/vegetables/mustardLeaves-64.png,0.8,1.35,1/26/2022
46,Ladies Finger,57,92,64,3509,1kg,ladiesFinger,68 - 94,66 - 72,resource/images/vegetables/ladiesFinger-64.png,0.8,1.43,1/26/2022
47,Pumpkin,27,64,65,3601,1kg,pumpkin,32 - 45,31 - 34,resource/images/vegetables/pumpkin-64.png,1,0.98,1/26/2022
48,Radish,21,88,64,3665,1kg,radish,25 - 35,24 - 27,resource/images/vegetables/radish-64.png,0.9,1.37,1/26/2022
49,Ridge Gourd,31,64,138,3753,1kg,ridgeGourd,37 - 51,36 - 39,resource/images/vegetables/ridgeGourd-64.png,1.2,0.47,1/26/2022
50,Shallot (Pearl Onion),33,68,64,3817,1kg,shallot,40 - 54,38 - 42,resource/images/vegetables/shallot-64.png,1,1.06,1/26/2022
51,Snake Gourd,27,64,139,3885,1kg,snakeGourd,32 - 45,31 - 34,resource/images/vegetables/snakeGourd-64.png,1.2,0.46,1/26/2022
52,Sorrel Leaves,13,64,79,3949,1kg,sorrelLeaves,16 - 21,15 - 17,resource/images/vegetables/sorrelLeaves-64.png,1,0.82,1/26/2022
53,Spinach,15,69,64,4013,1kg,spinach,18 - 25,17 - 19,resource/images/vegetables/spinach-64.png,1,1.07,1/26/2022
54,Sweet Potato,38,64,103,4082,1kg,sweetPotato,46 - 63,44 - 48,resource/images/vegetables/sweetPotato-64.png,1,0.62,1/26/2022
55,Onion Big,40,64,64,0,1kg,onionBig,48 - 66,46 - 51,resource/images/vegetables/onionBig-64.png,1,1,1/27/2022
56,Onion Small,63,60,64,64,1kg,onionSmall,76 - 104,72 - 80,resource/images/vegetables/onionSmall-64.png,1,0.94,1/27/2022
57,Tomato,19,50,64,124,1kg,tomato,23 - 31,22 - 24,resource/images/vegetables/tomato-64.png,1.2,0.77,1/27/2022
58,Green Chilli,43,69,64,174,1kg,greenChili,52 - 71,49 - 55,resource/images/vegetables/greenChili-64.png,1,1.08,1/27/2022
59,Beetroot,49,93,64,243,1kg,beetroot,59 - 81,56 - 62,resource/images/vegetables/beetroot-64.png,0.8,1.43,1/27/2022
60,Potato,22,64,90,400,1kg,potato,26 - 36,25 - 28,resource/images/vegetables/potato-64.png,1,0.72,1/27/2022
61,Raw Banana (Plantain),6,64,97,336,1kg,plantain,10-Jul,8-Jul,resource/images/vegetables/plantain-64.png,1.2,0.66,1/27/2022
62,Amaranth Leaves,16,64,78,613,1kg,amaranthLeaves,19 - 26,18 - 20,resource/images/vegetables/amaranthLeaves-64.png,1,0.82,1/27/2022
63,Amla,50,64,88,677,1kg,amla,60 - 83,58 - 64,resource/images/vegetables/amla-64.png,1.2,0.72,1/27/2022
64,Ash gourd,21,64,109,741,1kg,ashGourd,25 - 35,24 - 27,resource/images/vegetables/ashGourd-64.png,1,0.59,1/27/2022
65,Baby Corn,55,64,100,805,1kg,babyCorn,66 - 91,63 - 70,resource/images/vegetables/babyCorn-64.png,1,0.64,1/27/2022
66,Banana Flower,17,64,107,869,1kg,bananaFlower,20 - 28,20 - 22,resource/images/vegetables/bananaFlower-64.png,1.2,0.61,1/27/2022
67,Capsicum,41,81,64,933,1kg,capsicum,49 - 68,47 - 52,resource/images/vegetables/capsicum-64.png,0.8,1.26,1/27/2022
68,Bitter Gourd,34,64,87,1101,1kg,bitterGourd,41 - 56,39 - 43,resource/images/vegetables/bitterGourd-64.png,1.2,0.75,1/27/2022
69,Bottle Gourd,24,64,64,1165,1kg,bottleGourd,29 - 40,28 - 30,resource/images/vegetables/bottleGourd-64.png,1.2,1,1/27/2022
70,Butter Beans,46,64,82,1229,1kg,butterBeans,55 - 76,53 - 58,resource/images/vegetables/butterBeans-64.png,1.1,0.8,1/27/2022
71,Broad Beans,44,64,96,1293,1kg,broadBeans,53 - 73,51 - 56,resource/images/vegetables/broadBeans-64.png,1.2,0.66,1/27/2022
72,Cabbage,30,64,70,1357,1kg,cabbage,36 - 50,35 - 38,resource/images/vegetables/cabbage-64.png,1,0.92,1/27/2022
73,Carrot,70,85,64,464,1kg,carrot,84 - 116,81 - 89,resource/images/vegetables/carrot-64.png,1,1.28,1/27/2022
74,Cauliflower,44,64,71,1421,1kg,cauliflower,53 - 73,51 - 56,resource/images/vegetables/cauliflower-64.png,1,0.92,1/27/2022
75,Cluster beans,42,64,85,1485,1kg,clusterBeans,50 - 69,48 - 53,resource/images/vegetables/clusterBeans-64.png,1,0.77,1/27/2022
76,Coconut,34,64,77,1549,1kg,coconut,41 - 56,39 - 43,resource/images/vegetables/coconut-64.png,1,0.85,1/27/2022
77,Colocasia Leaves,13,64,79,1613,1kg,colocasiaLeaves,16 - 21,15 - 17,resource/images/vegetables/colocasiaLeaves-64.png,1,0.85,1/27/2022
78,Colocasia,25,64,96,1677,1kg,colocasia,30 - 41,29 - 32,resource/images/vegetables/colocasia-64.png,1,0.66,1/27/2022
79,Coriander Leaves,12,64,56,1741,1kg,corianderLeaves,14 - 20,14 - 15,resource/images/vegetables/corianderLeaves-64.png,1,1.12,1/27/2022
80,Corn,33,111,64,1805,1kg,corn,40 - 54,38 - 42,resource/images/vegetables/corn-64.png,0.8,1.7,1/27/2022
81,Cucumber,13,64,92,1916,1kg,cucumber,16 - 21,15 - 17,resource/images/vegetables/cucumber-64.png,1,0.7,1/27/2022
82,Curry Leaves,35,81,64,1980,1kg,curryLeaves,42 - 58,40 - 44,resource/images/vegetables/curryLeaves-64.png,1,1.26,1/27/2022
83,Dill Leaves,12,77,64,2061,1kg,dillLeaves,14 - 20,14 - 15,resource/images/vegetables/dillLeaves-64.png,1,1.16,1/27/2022
84,Drumsticks,120,64,87,2138,1kg,drumsticks,144 - 198,138 - 152,resource/images/vegetables/drumsticks-64.png,1,0.74,1/27/2022
85,Brinjal,32,86,64,2202,1kg,brinjal,38 - 53,37 - 41,resource/images/vegetables/brinjal-64.png,1,1.31,1/27/2022
86,Brinjal (Big),61,71,64,2288,1kg,brinjalBig,73 - 101,70 - 77,resource/images/vegetables/brinjalBig-64.png,1,1.13,1/27/2022
87,Elephant Yam,30,64,86,2423,1kg,elephantYam,36 - 50,35 - 38,resource/images/vegetables/elephantYam-64.png,1,0.75,1/27/2022
88,Fenugreek Leaves,13,64,91,2551,1kg,fenugreekLeaves,16 - 21,15 - 17,resource/images/vegetables/fenugreekLeaves-64.png,1,0.71,1/27/2022
89,French Beans,36,64,97,2615,1kg,frenchBeans,43 - 59,41 - 46,resource/images/vegetables/frenchBeans-64.png,1,0.67,1/27/2022
90,Garlic,61,68,64,2679,1kg,garlic,73 - 101,70 - 77,resource/images/vegetables/garlic-64.png,1,1.04,1/27/2022
91,Ginger,31,64,71,549,1kg,ginger,37 - 51,36 - 39,resource/images/vegetables/ginger-64.png,1,0.92,1/27/2022
92,Onion Green,44,64,104,2815,1kg,onionGreen,53 - 73,51 - 56,resource/images/vegetables/onionGreen-64.png,1,0.62,1/27/2022
93,Green Peas,55,64,84,2943,1kg,greenPeas,66 - 91,63 - 70,resource/images/vegetables/greenPeas-64.png,1,0.77,1/27/2022
94,Ivy Gourd,34,64,96,3007,1kg,ivyGourd,41 - 56,39 - 43,resource/images/vegetables/ivyGourd-64.png,1,0.66,1/27/2022
95,Lemon (Lime),35,64,72,3071,1kg,lemon,42 - 58,40 - 44,resource/images/vegetables/lemon-64.png,1,0.88,1/27/2022
96,Mango Raw,71,64,73,3210,1kg,mangoRaw,85 - 117,82 - 90,resource/images/vegetables/mangoRaw-64.png,1,0.87,1/27/2022
97,Mint Leaves,8,64,101,3274,1kg,mintLeaves,13-Oct,10-Sep,resource/images/vegetables/mintLeaves-64.png,1,0.72,1/27/2022
98,Mushroom,84,83,64,3338,1kg,mushroom,101 - 139,97 - 107,resource/images/vegetables/mushroom-64.png,0.8,1.29,1/27/2022
99,Mustard Leaves,15,88,64,3421,1kg,mustardLeaves,18 - 25,17 - 19,resource/images/vegetables/mustardLeaves-64.png,0.8,1.35,1/27/2022
100,Ladies Finger,57,92,64,3509,1kg,ladiesFinger,68 - 94,66 - 72,resource/images/vegetables/ladiesFinger-64.png,0.8,1.43,1/27/2022
101,Pumpkin,27,64,65,3601,1kg,pumpkin,32 - 45,31 - 34,resource/images/vegetables/pumpkin-64.png,1,0.98,1/27/2022
102,Radish,21,88,64,3665,1kg,radish,25 - 35,24 - 27,resource/images/vegetables/radish-64.png,0.9,1.37,1/27/2022
103,Ridge Gourd,31,64,138,3753,1kg,ridgeGourd,37 - 51,36 - 39,resource/images/vegetables/ridgeGourd-64.png,1.2,0.47,1/27/2022
104,Shallot (Pearl Onion),33,68,64,3817,1kg,shallot,40 - 54,38 - 42,resource/images/vegetables/shallot-64.png,1,1.06,1/27/2022
105,Snake Gourd,27,64,139,3885,1kg,snakeGourd,32 - 45,31 - 34,resource/images/vegetables/snakeGourd-64.png,1.2,0.46,1/27/2022
106,Sorrel Leaves,13,64,79,3949,1kg,sorrelLeaves,16 - 21,15 - 17,resource/images/vegetables/sorrelLeaves-64.png,1,0.82,1/27/2022
107,Spinach,15,69,64,4013,1kg,spinach,18 - 25,17 - 19,resource/images/vegetables/spinach-64.png,1,1.07,1/27/2022
108,Sweet Potato,38,64,103,4082,1kg,sweetPotato,46 - 63,44 - 48,resource/images/vegetables/sweetPotato-64.png,1,0.62,1/27/2022
109,Onion Big,34,64,64,0,1kg,onionBig,41 - 56,39 - 43,resource/images/vegetables/onionBig-64.png,1,1,1/28/2022
110,Onion Small,59,60,64,64,1kg,onionSmall,71 - 97,68 - 75,resource/images/vegetables/onionSmall-64.png,1,0.94,1/28/2022
111,Tomato,20,50,64,124,1kg,tomato,24 - 33,23 - 25,resource/images/vegetables/tomato-64.png,1.2,0.77,1/28/2022
112,Green Chilli,35,69,64,174,1kg,greenChili,42 - 58,40 - 44,resource/images/vegetables/greenChili-64.png,1,1.08,1/28/2022
113,Beetroot,47,93,64,243,1kg,beetroot,56 - 78,54 - 60,resource/images/vegetables/beetroot-64.png,0.8,1.43,1/28/2022
114,Potato,23,64,90,400,1kg,potato,28 - 38,26 - 29,resource/images/vegetables/potato-64.png,1,0.72,1/28/2022
115,Raw Banana (Plantain),7,64,97,336,1kg,plantain,12-Aug,9-Aug,resource/images/vegetables/plantain-64.png,1.2,0.66,1/28/2022
116,Amaranth Leaves,16,64,78,613,1kg,amaranthLeaves,19 - 26,18 - 20,resource/images/vegetables/amaranthLeaves-64.png,1,0.82,1/28/2022
117,Amla,60,64,88,677,1kg,amla,72 - 99,69 - 76,resource/images/vegetables/amla-64.png,1.2,0.72,1/28/2022
118,Ash gourd,24,64,109,741,1kg,ashGourd,29 - 40,28 - 30,resource/images/vegetables/ashGourd-64.png,1,0.59,1/28/2022
119,Baby Corn,52,64,100,805,1kg,babyCorn,62 - 86,60 - 66,resource/images/vegetables/babyCorn-64.png,1,0.64,1/28/2022
120,Banana Flower,16,64,107,869,1kg,bananaFlower,19 - 26,18 - 20,resource/images/vegetables/bananaFlower-64.png,1.2,0.61,1/28/2022
121,Capsicum,38,81,64,933,1kg,capsicum,46 - 63,44 - 48,resource/images/vegetables/capsicum-64.png,0.8,1.26,1/28/2022
122,Bitter Gourd,36,64,87,1101,1kg,bitterGourd,43 - 59,41 - 46,resource/images/vegetables/bitterGourd-64.png,1.2,0.75,1/28/2022
123,Bottle Gourd,28,64,64,1165,1kg,bottleGourd,34 - 46,32 - 36,resource/images/vegetables/bottleGourd-64.png,1.2,1,1/28/2022
124,Butter Beans,47,64,82,1229,1kg,butterBeans,56 - 78,54 - 60,resource/images/vegetables/butterBeans-64.png,1.1,0.8,1/28/2022
125,Broad Beans,40,64,96,1293,1kg,broadBeans,48 - 66,46 - 51,resource/images/vegetables/broadBeans-64.png,1.2,0.66,1/28/2022
126,Cabbage,29,64,70,1357,1kg,cabbage,35 - 48,33 - 37,resource/images/vegetables/cabbage-64.png,1,0.92,1/28/2022
127,Carrot,69,85,64,464,1kg,carrot,83 - 114,79 - 88,resource/images/vegetables/carrot-64.png,1,1.28,1/28/2022
128,Cauliflower,44,64,71,1421,1kg,cauliflower,53 - 73,51 - 56,resource/images/vegetables/cauliflower-64.png,1,0.92,1/28/2022
129,Cluster beans,40,64,85,1485,1kg,clusterBeans,48 - 66,46 - 51,resource/images/vegetables/clusterBeans-64.png,1,0.77,1/28/2022
130,Coconut,34,64,77,1549,1kg,coconut,41 - 56,39 - 43,resource/images/vegetables/coconut-64.png,1,0.85,1/28/2022
131,Colocasia Leaves,11,64,79,1613,1kg,colocasiaLeaves,13 - 18,13 - 14,resource/images/vegetables/colocasiaLeaves-64.png,1,0.85,1/28/2022
132,Colocasia,25,64,96,1677,1kg,colocasia,30 - 41,29 - 32,resource/images/vegetables/colocasia-64.png,1,0.66,1/28/2022
133,Coriander Leaves,7,64,56,1741,1kg,corianderLeaves,12-Aug,9-Aug,resource/images/vegetables/corianderLeaves-64.png,1,1.12,1/28/2022
134,Corn,33,111,64,1805,1kg,corn,40 - 54,38 - 42,resource/images/vegetables/corn-64.png,0.8,1.7,1/28/2022
135,Cucumber,12,64,92,1916,1kg,cucumber,14 - 20,14 - 15,resource/images/vegetables/cucumber-64.png,1,0.7,1/28/2022
136,Curry Leaves,37,81,64,1980,1kg,curryLeaves,44 - 61,43 - 47,resource/images/vegetables/curryLeaves-64.png,1,1.26,1/28/2022
137,Dill Leaves,12,77,64,2061,1kg,dillLeaves,14 - 20,14 - 15,resource/images/vegetables/dillLeaves-64.png,1,1.16,1/28/2022
138,Drumsticks,140,64,87,2138,1kg,drumsticks,168 - 231,161 - 178,resource/images/vegetables/drumsticks-64.png,1,0.74,1/28/2022
139,Brinjal,31,86,64,2202,1kg,brinjal,37 - 51,36 - 39,resource/images/vegetables/brinjal-64.png,1,1.31,1/28/2022
140,Brinjal (Big),64,71,64,2288,1kg,brinjalBig,77 - 106,74 - 81,resource/images/vegetables/brinjalBig-64.png,1,1.13,1/28/2022
141,Elephant Yam,27,64,86,2423,1kg,elephantYam,32 - 45,31 - 34,resource/images/vegetables/elephantYam-64.png,1,0.75,1/28/2022
142,Fenugreek Leaves,13,64,91,2551,1kg,fenugreekLeaves,16 - 21,15 - 17,resource/images/vegetables/fenugreekLeaves-64.png,1,0.71,1/28/2022
143,French Beans,39,64,97,2615,1kg,frenchBeans,47 - 64,45 - 50,resource/images/vegetables/frenchBeans-64.png,1,0.67,1/28/2022
144,Garlic,64,68,64,2679,1kg,garlic,77 - 106,74 - 81,resource/images/vegetables/garlic-64.png,1,1.04,1/28/2022
145,Ginger,30,64,71,549,1kg,ginger,36 - 50,35 - 38,resource/images/vegetables/ginger-64.png,1,0.92,1/28/2022
146,Onion Green,43,64,104,2815,1kg,onionGreen,52 - 71,49 - 55,resource/images/vegetables/onionGreen-64.png,1,0.62,1/28/2022
147,Green Peas,51,64,84,2943,1kg,greenPeas,61 - 84,59 - 65,resource/images/vegetables/greenPeas-64.png,1,0.77,1/28/2022
148,Ivy Gourd,35,64,96,3007,1kg,ivyGourd,42 - 58,40 - 44,resource/images/vegetables/ivyGourd-64.png,1,0.66,1/28/2022
149,Lemon (Lime),40,64,72,3071,1kg,lemon,48 - 66,46 - 51,resource/images/vegetables/lemon-64.png,1,0.88,1/28/2022
150,Mango Raw,70,64,73,3210,1kg,mangoRaw,84 - 116,81 - 89,resource/images/vegetables/mangoRaw-64.png,1,0.87,1/28/2022
151,Mint Leaves,7,64,101,3274,1kg,mintLeaves,12-Aug,9-Aug,resource/images/vegetables/mintLeaves-64.png,1,0.72,1/28/2022
152,Mushroom,77,83,64,3338,1kg,mushroom,92 - 127,89 - 98,resource/images/vegetables/mushroom-64.png,0.8,1.29,1/28/2022
153,Mustard Leaves,20,88,64,3421,1kg,mustardLeaves,24 - 33,23 - 25,resource/images/vegetables/mustardLeaves-64.png,0.8,1.35,1/28/2022
154,Ladies Finger,57,92,64,3509,1kg,ladiesFinger,68 - 94,66 - 72,resource/images/vegetables/ladiesFinger-64.png,0.8,1.43,1/28/2022
155,Pumpkin,24,64,65,3601,1kg,pumpkin,29 - 40,28 - 30,resource/images/vegetables/pumpkin-64.png,1,0.98,1/28/2022
156,Radish,23,88,64,3665,1kg,radish,28 - 38,26 - 29,resource/images/vegetables/radish-64.png,0.9,1.37,1/28/2022
157,Ridge Gourd,35,64,138,3753,1kg,ridgeGourd,42 - 58,40 - 44,resource/images/vegetables/ridgeGourd-64.png,1.2,0.47,1/28/2022
158,Shallot (Pearl Onion),30,68,64,3817,1kg,shallot,36 - 50,35 - 38,resource/images/vegetables/shallot-64.png,1,1.06,1/28/2022
159,Snake Gourd,24,64,139,3885,1kg,snakeGourd,29 - 40,28 - 30,resource/images/vegetables/snakeGourd-64.png,1.2,0.46,1/28/2022
160,Sorrel Leaves,11,64,79,3949,1kg,sorrelLeaves,13 - 18,13 - 14,resource/images/vegetables/sorrelLeaves-64.png,1,0.82,1/28/2022
161,Spinach,11,69,64,4013,1kg,spinach,13 - 18,13 - 14,resource/images/vegetables/spinach-64.png,1,1.07,1/28/2022
162,Sweet Potato,45,64,103,4082,1kg,sweetPotato,54 - 74,52 - 57,resource/images/vegetables/sweetPotato-64.png,1,0.62,1/28/2022
163,Onion Big,34,64,64,0,1kg,onionBig,41 - 56,39 - 43,resource/images/vegetables/onionBig-64.png,1,1,1/29/2022
164,Onion Small,59,60,64,64,1kg,onionSmall,71 - 97,68 - 75,resource/images/vegetables/onionSmall-64.png,1,0.94,1/29/2022
165,Tomato,20,50,64,124,1kg,tomato,24 - 33,23 - 25,resource/images/vegetables/tomato-64.png,1.2,0.77,1/29/2022
166,Green Chilli,35,69,64,174,1kg,greenChili,42 - 58,40 - 44,resource/images/vegetables/greenChili-64.png,1,1.08,1/29/2022
167,Beetroot,47,93,64,243,1kg,beetroot,56 - 78,54 - 60,resource/images/vegetables/beetroot-64.png,0.8,1.43,1/29/2022
168,Potato,23,64,90,400,1kg,potato,28 - 38,26 - 29,resource/images/vegetables/potato-64.png,1,0.72,1/29/2022
169,Raw Banana (Plantain),7,64,97,336,1kg,plantain,12-Aug,9-Aug,resource/images/vegetables/plantain-64.png,1.2,0.66,1/29/2022
170,Amaranth Leaves,16,64,78,613,1kg,amaranthLeaves,19 - 26,18 - 20,resource/images/vegetables/amaranthLeaves-64.png,1,0.82,1/29/2022
171,Amla,60,64,88,677,1kg,amla,72 - 99,69 - 76,resource/images/vegetables/amla-64.png,1.2,0.72,1/29/2022
172,Ash gourd,24,64,109,741,1kg,ashGourd,29 - 40,28 - 30,resource/images/vegetables/ashGourd-64.png,1,0.59,1/29/2022
173,Baby Corn,52,64,100,805,1kg,babyCorn,62 - 86,60 - 66,resource/images/vegetables/babyCorn-64.png,1,0.64,1/29/2022
174,Banana Flower,16,64,107,869,1kg,bananaFlower,19 - 26,18 - 20,resource/images/vegetables/bananaFlower-64.png,1.2,0.61,1/29/2022
175,Capsicum,38,81,64,933,1kg,capsicum,46 - 63,44 - 48,resource/images/vegetables/capsicum-64.png,0.8,1.26,1/29/2022
176,Bitter Gourd,36,64,87,1101,1kg,bitterGourd,43 - 59,41 - 46,resource/images/vegetables/bitterGourd-64.png,1.2,0.75,1/29/2022
177,Bottle Gourd,28,64,64,1165,1kg,bottleGourd,34 - 46,32 - 36,resource/images/vegetables/bottleGourd-64.png,1.2,1,1/29/2022
178,Butter Beans,47,64,82,1229,1kg,butterBeans,56 - 78,54 - 60,resource/images/vegetables/butterBeans-64.png,1.1,0.8,1/29/2022
179,Broad Beans,40,64,96,1293,1kg,broadBeans,48 - 66,46 - 51,resource/images/vegetables/broadBeans-64.png,1.2,0.66,1/29/2022
180,Cabbage,29,64,70,1357,1kg,cabbage,35 - 48,33 - 37,resource/images/vegetables/cabbage-64.png,1,0.92,1/29/2022
181,Carrot,69,85,64,464,1kg,carrot,83 - 114,79 - 88,resource/images/vegetables/carrot-64.png,1,1.28,1/29/2022
182,Cauliflower,44,64,71,1421,1kg,cauliflower,53 - 73,51 - 56,resource/images/vegetables/cauliflower-64.png,1,0.92,1/29/2022
183,Cluster beans,40,64,85,1485,1kg,clusterBeans,48 - 66,46 - 51,resource/images/vegetables/clusterBeans-64.png,1,0.77,1/29/2022
184,Coconut,34,64,77,1549,1kg,coconut,41 - 56,39 - 43,resource/images/vegetables/coconut-64.png,1,0.85,1/29/2022
185,Colocasia Leaves,11,64,79,1613,1kg,colocasiaLeaves,13 - 18,13 - 14,resource/images/vegetables/colocasiaLeaves-64.png,1,0.85,1/29/2022
186,Colocasia,25,64,96,1677,1kg,colocasia,30 - 41,29 - 32,resource/images/vegetables/colocasia-64.png,1,0.66,1/29/2022
187,Coriander Leaves,7,64,56,1741,1kg,corianderLeaves,12-Aug,9-Aug,resource/images/vegetables/corianderLeaves-64.png,1,1.12,1/29/2022
188,Corn,33,111,64,1805,1kg,corn,40 - 54,38 - 42,resource/images/vegetables/corn-64.png,0.8,1.7,1/29/2022
